Tidspunkt;Vannføring (m³/s)
2010-11-29 11:00:00Z;0.04763557
2010-11-30 11:00:00Z;0.04801421
2010-12-01 11:00:00Z;0.03817482
2010-12-02 11:00:00Z;0.240274
2010-12-03 11:00:00Z;0.769637
2010-12-04 11:00:00Z;1.058992
2010-12-05 11:00:00Z;0.6964259
2010-12-06 11:00:00Z;0.5187989
2010-12-07 11:00:00Z;0.4038717
2010-12-08 11:00:00Z;0.2938844
2010-12-09 11:00:00Z;0.2287447
2010-12-10 11:00:00Z;0.2022132
2010-12-11 11:00:00Z;0.175674
2010-12-12 11:00:00Z;0.166022
2010-12-13 11:00:00Z;0.1511868
2010-12-14 11:00:00Z;0.1560128
2010-12-15 11:00:00Z;0.1853259
2010-12-16 11:00:00Z;0.3517812
2010-12-17 11:00:00Z;0.3204237
2010-12-18 11:00:00Z;0.2239264
2010-12-19 11:00:00Z;0.1853259
2010-12-20 11:00:00Z;0.1587868
2010-12-21 11:00:00Z;0.1467257
2010-12-22 11:00:00Z;0.1298385
2010-12-23 11:00:00Z;0.1110892
2010-12-24 11:00:00Z;0.1063317
2010-12-25 11:00:00Z;0.1001605
2010-12-26 11:00:00Z;0.09160283
2010-12-27 11:00:00Z;0.07639515
2010-12-28 11:00:00Z;0.06784522
2010-12-29 11:00:00Z;0.05358758
2010-12-30 11:00:00Z;0.08970281
2010-12-31 11:00:00Z;0.09537494
2011-01-01 11:00:00Z;0.09156004
2011-01-02 11:00:00Z;0.0871598
2011-01-03 11:00:00Z;0.0827603
2011-01-04 11:00:00Z;0.07921319
2011-01-05 11:00:00Z;0.075666
2011-01-06 11:00:00Z;0.07211875
2011-01-07 11:00:00Z;0.06907823
2011-01-08 11:00:00Z;0.06603843
2011-01-09 11:00:00Z;0.06299786
2011-01-10 11:00:00Z;0.06128795
2011-01-11 11:00:00Z;0.05957729
2011-01-12 11:00:00Z;0.05786743
2011-01-13 11:00:00Z;0.05615679
2011-01-14 11:00:00Z;0.05361215
2011-01-15 11:00:00Z;0.0510684
2011-01-16 11:00:00Z;0.04852379
2011-01-17 11:00:00Z;0.04890065
2011-01-18 11:00:00Z;0.05573336
2011-01-19 11:00:00Z;0.06866998
2011-01-20 11:00:00Z;0.1106434
2011-01-21 11:00:00Z;0.1258949
2011-01-22 11:00:00Z;0.124369
2011-01-23 11:00:00Z;0.1220799
2011-01-24 11:00:00Z;0.110635
2011-01-25 11:00:00Z;0.09919006
2011-01-26 11:00:00Z;0.112161
2011-01-27 11:00:00Z;0.1220799
2011-01-28 11:00:00Z;0.11445
2011-01-29 11:00:00Z;0.10682
2011-01-30 11:00:00Z;0.116739
2011-01-31 11:00:00Z;0.126658
2011-02-01 11:00:00Z;0.1258949
2011-02-02 11:00:00Z;0.1194897
2011-02-03 11:00:00Z;0.114923
2011-02-04 11:00:00Z;0.1103573
2011-02-05 11:00:00Z;0.1065201
2011-02-06 11:00:00Z;0.102683
2011-02-07 11:00:00Z;0.09884585
2011-02-08 11:00:00Z;0.09563285
2011-02-09 11:00:00Z;0.09241994
2011-02-10 11:00:00Z;0.08920697
2011-02-11 11:00:00Z;0.08599387
2011-02-12 11:00:00Z;0.08278086
2011-02-13 11:00:00Z;0.07988916
2011-02-14 11:00:00Z;0.07699744
2011-02-15 11:00:00Z;0.07410564
2011-02-16 11:00:00Z;0.07121386
2011-02-17 11:00:00Z;0.06832205
2011-02-18 11:00:00Z;0.06639396
2011-02-19 11:00:00Z;0.06446658
2011-02-20 11:00:00Z;0.06253856
2011-02-21 11:00:00Z;0.06061119
2011-02-22 11:00:00Z;0.05868306
2011-02-23 11:00:00Z;0.05916075
2011-02-24 11:00:00Z;0.05373041
2011-02-25 11:00:00Z;0.07204171
2011-02-26 11:00:00Z;0.1199513
2011-02-27 11:00:00Z;0.16786
2011-02-28 11:00:00Z;0.19075
2011-03-01 11:00:00Z;0.21364
2011-03-02 11:00:00Z;0.385315
2011-03-03 11:00:00Z;0.6638101
2011-03-04 11:00:00Z;0.6421515
2011-03-05 11:00:00Z;0.4645044
2011-03-06 11:00:00Z;0.3478975
